Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Information,Note
MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",June,30-09-2023,2.74E+12,1.09E+11,35.84,2.266,29.7,2.79,0.0081,10.3,29.35,0.353,0.476,0.146,0.391,2.18E+11,1.36E+11,10.3,0.272,0.128,404.22,35.84,34.01,12.75,12.61,12.48,24.32,0.897,384.3,217.42,344.71,318.79,7432260000,14-12-2023,14-02-2024,,
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,30-09-2023,2.95E+12,1.26E+11,30.85,2.271,3.997,0.94,0.0051,6.14,24.34,0.253,0.301,0.203,1.72,3.83E+11,1.71E+11,6.14,0.135,-0.007,198.01,30.85,28.74,7.69,47.41,7.82,23.19,1.308,197.7,123.48,179.74,175.45,15552800000,16-11-2023,10-11-2023,,
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",December,30-09-2023,1.50E+12,73978003000,75.83,2.596,17.71,0,0,1.91,53.95,0.0362,0.0782,0.0361,0.125,5.54E+11,2.25E+11,1.91,2.357,0.126,173.56,75.83,41.49,2.743,8.3,2.874,21.63,1.17,149.26,81.43,134.94,122.44,10334000000,None,None,,
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,30-09-2023,1.63E+12,96071000000,24.76,1.242,21.79,0,0,5.22,23.34,0.225,0.28,0.135,0.253,2.97E+11,1.57E+11,5.22,0.46,0.11,151.71,24.76,19.76,5.58,6.04,5.28,16.79,1.035,141.22,84.86,133.37,120.8,5918000000,None,None,,
META,Common Stock,Meta Platforms Inc.,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",December,30-09-2023,8.22E+11,54061998000,28.25,0.741,55.57,0,0,11.33,48.97,0.234,0.414,0.138,0.223,1.27E+11,92855000000,11.33,1.679,0.232,372.4,28.25,19.05,6.58,5.84,6.38,17.04,1.197,342.92,112.46,317.68,271.63,2219610000,None,None,,
JPM,Common Stock,JPMorgan Chase & Co,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a Bulge Bracket bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions.",19617,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"383 MADISON AVENUE, NEW YORK, NY, US",December,30-09-2023,4.57E+11,None,9.35,3.121,100.3,4.05,0.0268,16.89,48.27,0.36,0.451,0.0134,0.169,1.42E+11,1.22E+11,16.89,0.388,0.231,170.57,9.35,10.3,3.183,1.564,-,-,1.114,158.5,120.43,146.22,142.89,2891010000,31-10-2023,05-10-2023,,
BAC,Common Stock,Bank of America Corp,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",70858,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, US",December,30-09-2023,2.44E+11,None,8.63,7.17,32.65,0.9,0.0311,3.57,12.02,0.315,0.338,0.0098,0.11,96771998000,92407000000,3.57,0.111,0.014,33.98,8.63,9.33,2.532,0.947,-,-,1.407,35.88,24.76,27.65,29.06,7913730000,29-12-2023,30-11-2023,,
WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",December,30-09-2023,1.64E+11,None,9.85,0.7,44.45,1.25,0.031,4.58,20.49,0.24,0.333,0.0095,0.0995,76491997000,72247000000,4.58,0.721,0.047,50.12,9.85,8.96,2.137,1.014,-,-,1.181,47.66,34.4,41.05,41.6,3631640000,01-12-2023,02-11-2023,,
GS,Common Stock,Goldman Sachs Group Inc,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. It also provides investment banking to institutional investors.",886982,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","200 WEST STREET, NEW YORK, NY, US",December,30-09-2023,1.14E+11,None,16.81,2.723,308.42,10.25,0.0316,20.79,128.13,0.178,0.315,0.005,0.0659,44105998000,37530000000,20.79,-0.336,0.031,380.04,16.81,9.8,2.576,1.071,-,-,1.437,368.02,287,319.65,329.43,326112000,28-12-2023,29-11-2023,,
C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",December,30-09-2023,90660495000,None,7.52,0.717,99.28,2.06,0.0439,6.3,37.46,0.187,0.261,0.0058,0.0671,72548000000,70560000000,6.3,-0.001,0.066,52.5,7.52,7.74,1.246,0.476,-,-,1.574,50.88,37.68,41.82,45,1913880000,22-11-2023,03-11-2023,,
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",December,30-09-2023,3.82E+11,35014001000,29.86,1.572,29.59,4.64,0.03,5.32,38.16,0.351,0.301,0.101,0.192,98656002000,63954000000,5.32,5.09,0.068,175.1,29.86,14.62,3.865,5.35,3.93,15.72,0.573,175.71,143.8,152.93,159.39,2407280000,05-12-2023,20-11-2023,,
PFE,Common Stock,Pfizer Inc,"Pfizer Inc. is an American multinational pharmaceutical and biotechnology corporation headquartered on 42nd Street in Manhattan, New York City. The name of the company commemorates its co-founder, Charles Pfizer (1824-1906). Pfizer develops and produces medicines and vaccines for immunology, oncology, cardiology, endocrinology, and neurology. The company has several blockbuster drugs or products that each generate more than 1 billion USD in annual revenues.",78003,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"235 E 42ND ST, NEW YORK, NY, US",December,30-09-2023,1.67E+11,13945000000,16.11,1.173,17.17,1.63,0.056,1.83,12.16,0.153,-0.623,0.0239,0.111,68537000000,66233000000,1.83,-0.764,-0.416,40,16.11,9.03,2.439,1.684,2.665,9.93,0.555,52.55,28.3,31.22,36.3,5646410000,04-12-2023,09-11-2023,,
MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",December,30-09-2023,2.66E+11,12934000000,58.37,0.83,16.27,2.88,0.0293,1.8,23.38,0.0777,0.365,0.054,0.108,59314999000,42077000000,1.8,0.453,0.067,124.9,58.37,12.12,4.42,6.36,4.86,23.4,0.355,118.05,99.14,103.03,108.38,2534020000,08-01-2024,14-12-2023,,
UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",December,30-09-2023,5.07E+11,34539999000,23.81,1.504,91.34,7.06,0.0137,23.03,386.66,0.0602,0.0923,0.0751,0.253,3.60E+11,79617000000,23.03,0.124,0.142,591.39,23.81,19.49,1.408,5.99,1.459,14.78,0.62,554.7,440.66,530.63,497.97,924925000,12-12-2023,01-12-2023,,
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,30-09-2023,1.46E+11,13301000000,19.38,2.221,14.31,8.33,0.0313,14.06,50.16,0.282,0.389,0.0786,1.338,26833000000,19917000000,14.06,-0.191,0.038,277.83,19.38,13.93,5.43,19.05,6.39,11.57,0.58,286.21,208.37,270.21,246.55,535178000,08-12-2023,16-11-2023,,
DIS,Common Stock,Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",September,30-09-2023,1.68E+11,14701000000,71.33,1.112,54.25,0,0.0065,1.29,48.63,0.0265,0.102,0.0285,0.0306,88898003000,28321000000,1.29,0.623,0.054,104.68,71.33,19.68,1.906,1.707,2.269,16.65,1.316,118.18,78.73,86.04,90.4,1830320000,10-01-2024,08-12-2023,,
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",December,30-09-2023,7.49E+11,15152000000,75.75,2.692,16.82,0,0,3.11,30.28,0.112,0.0756,0.0797,0.225,95924003000,20853000000,3.11,-0.442,0.088,224.9,75.75,65.79,7.91,14.2,7.73,45.43,2.262,299.29,101.81,234.83,224.03,3178920000,None,None,,
NKE,Common Stock,Nike Inc,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment.",320187,NYSE,USD,USA,MANUFACTURING,RUBBER & PLASTICS FOOTWEAR,"ONE BOWERMAN DR, BEAVERTON, OR, US",May,31-08-2023,1.75E+11,6709000000,35,2.067,9.17,1.36,0.013,3.29,33.38,0.0982,0.124,0.0935,0.339,51469001000,21479000000,3.29,0.011,0.02,119.47,35,30.67,3.356,12.36,3.421,26.25,1.079,129.63,88.36,102.17,110.07,1224010000,02-01-2024,01-12-2023,,
MCD,Common Stock,McDonaldâ€™s Corporation,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona.",63908,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"110 NORTH CARPENTER STREET, CHICAGO, IL, US",December,30-09-2023,2.08E+11,13454000000,25.19,1.887,-6.69,6.08,0.0234,11.36,34.28,0.333,0.476,0.143,0,25014000000,13207200000,11.36,0.183,0.14,309.12,25.19,22.94,8.29,-,10.14,18.63,0.702,295.98,244.27,264.62,279.68,725342000,15-12-2023,30-11-2023,,
PG,Common Stock,Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",June,30-09-2023,3.58E+11,22635999000,24.77,3.532,19.89,3.708,0.0246,6.14,35.26,0.183,0.264,0.104,0.332,83265004000,39246000000,6.14,0.161,0.061,165.43,24.77,23.98,4.321,7.67,4.645,16.99,0.446,157.39,133.3,148.92,149.54,2356890000,15-11-2023,19-10-2023,,
